Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Mon Jul 20 20:52:48 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,60, 142, 60, 145, 0, 0, 0, 0, 0, 1, 0, 0, 3, 218, 3, 218, 0, 1, 8, 179
Mon Jul 20 20:52:49 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0,56, 142, 56, 140, 0, 0, 0, 0, 0, 1, 0, 0, 3, 219, 3, 219, 0, 1, 8, 208
Mon Jul 20 20:52:50 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0,58, 142, 60, 143, 0, 0, 0, 0, 0, 1, 0, 0, 3, 220, 3, 220, 0, 1, 8, 135
Mon Jul 20 20:52:51 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0,58, 141, 58, 143, 0, 0, 0, 0, 0, 1, 0, 0, 3, 221, 3, 221, 0, 1, 7, 155
Mon Jul 20 20:52:52 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0,56, 141, 56, 142, 0, 0, 0, 0, 0, 1, 0, 0, 3, 222, 3, 222, 0, 1, 8, 97
Mon Jul 20 20:52:54 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0,58, 143, 56, 143, 0, 0, 0, 0, 0, 1, 0, 0, 3, 223, 3, 223, 0, 1, 7, 125
Mon Jul 20 20:52:55 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0,56, 141, 56, 141, 0, 0, 0, 0, 0, 1, 0, 0, 3, 224, 3, 224, 0, 1, 8, 183
Mon Jul 20 20:52:56 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0,56, 142, 56, 143, 0, 0, 0, 0, 0, 1, 0, 0, 3, 225, 3, 225, 0, 1, 8, 220
Mon Jul 20 20:52:57 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0,64, 140, 62, 141, 0, 0, 0, 0, 0, 1, 0, 0, 3, 226, 3, 226, 0, 1, 7, 229
Mon Jul 20 20:52:59 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0,66, 140, 66, 141, 0, 0, 0, 0, 0, 1, 0, 0, 3, 227, 3, 227, 0, 1, 8, 234
Mon Jul 20 20:53:00 2026,11,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0,64, 140, 62, 141, 0, 0, 0, 0, 0, 1, 0, 0, 3, 228, 3, 228, 0, 1, 7, 117
