Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Wed Jul 22 18:53:17 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,72, 139, 70, 143, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 10, 240
Wed Jul 22 18:53:18 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0,70, 141, 68, 143, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 1, 10, 215
Wed Jul 22 18:53:20 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0,70, 142, 68, 144, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 3, 0, 1, 11, 182
Wed Jul 22 18:53:21 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0,70, 142, 68, 142, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 4, 0, 1, 10, 209
Wed Jul 22 18:53:22 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0,70, 142, 68, 143, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 5, 0, 1, 10, 247
Wed Jul 22 18:53:23 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0,70, 141, 68, 143, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 6, 0, 1, 11, 126
Wed Jul 22 18:53:25 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0,70, 142, 68, 144, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 7, 0, 1, 11, 48
Wed Jul 22 18:53:26 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0,70, 142, 68, 143, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 8, 0, 1, 11, 99
Wed Jul 22 18:53:27 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0,70, 142, 68, 145, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 9, 0, 1, 11, 22
Wed Jul 22 18:53:28 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0,70, 142, 68, 144, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 0, 10, 0, 1, 10, 217
